2019-11-06 11:49:41,337 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server
2019-11-06 11:49:41,358 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: backup Message Broker is starting with configuration Broker Configuration (clustered=true,journalDirectory=../shared/journal,bindingsDirectory=../shared/bindings,largeMessagesDirectory=../shared/large-messages,pagingDirectory=../shared/paging)
2019-11-06 11:49:41,365 INFO  [org.apache.activemq.artemis.core.server] AMQ221032: Waiting to become backup node
2019-11-06 11:49:41,365 INFO  [org.apache.activemq.artemis.core.server] AMQ221033: ** got backup lock
2019-11-06 11:49:41,390 INFO  [org.apache.activemq.artemis.core.server] AMQ221012: Using AIO Journal
2019-11-06 11:49:41,422 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1,073,741,824
2019-11-06 11:49:41,478 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2019-11-06 11:49:41,479 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2019-11-06 11:49:41,479 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2019-11-06 11:49:41,479 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2019-11-06 11:49:41,480 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
2019-11-06 11:49:41,480 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2019-11-06 11:49:41,517 INFO  [org.apache.activemq.artemis.core.server] AMQ221109: Apache ActiveMQ Artemis Backup Server version 2.9.0.redhat-00002 [69e9a668-005d-11ea-a7eb-482ae343b22d] started, waiting live to fail before it gets active
2019-11-06 11:49:46,198 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2019-11-06 11:49:46,199 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2019-11-06 11:49:46,199 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2019-11-06 11:49:46,199 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2019-11-06 11:49:46,442 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at localhost:61617 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2019-11-06 11:49:46,444 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at localhost:5446 for protocols [HORNETQ,STOMP]
2019-11-06 11:49:46,447 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at localhost:5673 for protocols [AMQP]
2019-11-06 11:49:46,449 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at localhost:1884 for protocols [MQTT]
2019-11-06 11:49:46,451 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at localhost:61614 for protocols [STOMP]
2019-11-06 11:49:46,452 INFO  [org.apache.activemq.artemis.core.server] AMQ221010: Backup Server is now live
